id,season,organization,attack,goalkeeping,key_pass,defence,defending_skills,wing_back,central_back,discipline,Rating
1002,2014,-0.961340844,-0.753627746,1.83771333,0.008631737,-0.466799717,-0.118603233,-0.221093512,0.234975542,-0.473683494,6.6
1002,2015,-0.974762578,-0.686121852,1.630143571,-0.090757048,-0.394223942,-0.12465092,-0.202835413,-0.10675057,-0.219520216,6.6
1002,2016,-0.928007692,-0.927830277,2.711569391,-0.09690551,0.072479618,-0.114955691,-0.233003734,-0.287073046,-0.714512993,6.7
1002,2017,-0.822605511,-1.244289325,3.654801544,-0.05317901,0.42477484,-0.054587489,-0.208318575,-0.242026508,-0.86203331,6.7
1002,2018,-0.795500241,-1.156422861,3.234643518,0.085265692,0.469805557,-0.125381829,-0.240746768,-0.621668594,-0.55394628,6.7
1003,2014,-1.036517825,-0.648859368,1.7773841,-0.059325256,-0.345351637,-0.151705218,-0.237802123,0.172692731,-0.745556752,6.6
1003,2015,-1.105211808,-0.448293427,1.059251942,-0.129065669,-0.649962219,-0.155845946,-0.202024874,0.157923905,-0.402650112,6.5
1003,2016,-0.756665319,-1.311055967,4.049633666,-0.089454825,0.578482906,-0.043263283,-0.199307019,-0.276057593,-1.011930682,6.8
1003,2017,-0.940923708,-1.147278404,3.773660472,-0.032511138,0.6956335,-0.118001932,-0.192116719,-0.143219434,-1.294789363,6.7
1003,2018,-0.823775433,-1.307173108,3.796464419,0.228299814,0.814728266,-0.085691682,0.04316917,-0.032318265,-0.72193994,6.7
1005,2014,0.368120764,-0.359477904,-0.208007671,-0.785257997,-1.075185424,-0.075751075,1.186768683,0.00404129,0.257561064,7.1
1005,2015,-1.010003139,0.35784612,-0.123349372,-1.109106849,-0.443063566,-0.037573767,-0.29636689,0.491661273,0.110537039,6.5
1005,2016,-0.830509662,0.194302556,-0.594902578,-0.445290022,-1.057276392,-0.190026733,0.628676881,-0.066103207,-0.53042443,6.6
1005,2017,0.054338584,0.148739624,-0.735140356,-1.288526555,0.048229307,-0.113069808,0.376829137,0.39508053,-0.87486888,6.9
1005,2018,-0.597797042,-0.193379853,-0.358173224,-0.83283478,0.090215364,-0.117292115,0.077081271,1.004556654,-0.293283346,6.7
1006,2014,0.220388164,-0.607110939,-0.807035177,0.442770465,1.021066692,-0.385883386,-0.9048918,-0.038546319,0.953994353,7
1006,2015,0.765743515,-1.169084296,-0.725971361,0.498450134,0.249792295,-0.386222241,-1.349356932,0.090636022,0.41087596,7.3
1006,2016,0.572109041,-1.064131618,-0.705876051,1.393146482,-0.837818166,-0.38485318,2.404613217,-0.821848002,-0.403636272,7.2
1006,2017,0.195090511,-0.998407951,-1.274000606,2.427216313,0.716174372,-0.622977343,4.002103908,-1.547504689,0.262157889,7
1006,2018,0.485423513,-1.142724353,-0.641183211,1.097366976,0.245476027,-0.500765988,0.060546119,-2.353952802,0.999263172,7.2
1007,2014,1.530383254,-0.604216483,-0.127846405,-0.340983345,0.298347034,-0.083069155,-0.535372628,0.062563662,1.862488497,7.6
1007,2015,1.267069559,-0.231521311,-0.288246583,0.084085485,0.669725785,2.575351859,-0.675197102,-0.306553631,2.458651245,7.6
1007,2016,1.59001804,-0.280867077,-0.543191048,-0.592081969,-0.377910905,-0.227380215,-1.509419112,-1.081597618,-0.399033672,7.7
1007,2017,1.332545099,-0.878693208,-0.504349137,0.341874749,0.86153395,-0.279578822,-0.00592103,-0.055151685,0.509251015,7.5
1007,2018,1.309171296,-1.005101302,0.290258896,0.247979241,-0.175407675,-0.105899082,1.891629564,-0.645199676,0.646312333,7.5
1008,2014,1.106848149,-1.809999442,0.417167389,0.074719468,-1.891455888,0.001129331,-1.924868491,1.461998784,1.093627809,7.5
1008,2015,1.19492645,-1.761497847,0.632846697,0.598357565,-0.751575857,-0.164804974,-1.592705208,0.660739592,1.251475508,7.5
1008,2016,1.464109205,-1.449423452,-0.139287064,0.332647377,-1.355271284,-0.388794923,0.253051185,-0.7115782,-0.630861429,7.6
1008,2017,1.258869479,-1.470728001,0.167719146,0.533238957,-0.921490723,-0.343888845,0.534835929,0.427149124,0.068130272,7.5
1008,2018,1.641680418,-1.375485992,0.014619635,0.827512183,-1.283721168,0.92694963,1.678425235,-0.063110339,0.220436429,7.7
1009,2014,0.215486868,-0.967056992,0.116876786,0.48638772,-0.49392741,-0.057454933,-1.482360145,-0.479583397,1.440886984,7.1
1009,2015,0.376965852,-0.448233465,-0.041535766,-0.29580838,0.141377136,-0.22974517,-0.238936147,0.338630943,0.319325376,7.1
1009,2016,-0.228274159,-0.130372806,-0.427610555,-0.205982682,-0.098614194,-0.270818127,0.112646253,0.006553786,0.586846339,6.9
1009,2017,0.05766264,-0.683403327,-0.1828822,1.390062888,-0.212898346,-0.336038686,2.087548258,-0.343712412,-0.029104999,7
1009,2018,0.149498362,-0.887650024,0.125059946,1.943671602,1.379519217,1.707179613,1.237514192,-0.712918694,1.271375038,7.1
1010,2014,0.493197052,-0.945749211,-0.589264965,-0.332204744,-2.396929701,-0.118039589,-1.831869146,-0.253087507,-0.128009177,7.2
1011,2014,1.430508634,-1.577022304,0.417349841,0.500028099,-1.0688866,-0.22481062,-2.406791815,-1.306327656,1.950661268,7.6
1011,2015,0.545046888,-1.036101446,0.277734181,-0.013998859,-1.314529513,-0.186698977,-0.899648246,0.572010449,0.161586933,7.2
1011,2016,1.467024504,-1.010305666,0.247095567,-0.130683999,-1.725868667,-0.272640131,0.136843719,-1.440905073,0.388571697,7.6
1011,2017,0.749671634,-1.436225242,0.609959644,0.357146813,-0.829888853,-0.257573613,0.980609626,1.281145961,-0.719654903,7.3
